Layer_Name,Variable,Comparision,difference,pvalue,signif.,LCL,UCL,Layer_Name_Text,Depth_Top,Depth_Bottom,Depth_Range
Bottom1,wv.diff,ST-CC - ST-NO,-0.02957138140164217,0.5509, ,-0.10368599221702055,0.0445432294137362,Bottom (40-60 cm),40,60,40 - 60 cm
Bottom2,hMean,NT-CC - NT-NO,-193.60550000000057,0.5083, ,-630.2919243063999,243.08092430639874,Bottom (60-100 cm),60,100,60 - 100 cm
Bottom2,hMean,NT-CC - ST-CC,-132.20525000000043,0.6498, ,-568.8916743063998,304.4811743063989,Bottom (60-100 cm),60,100,60 - 100 cm
Bottom2,hMean,NT-CC - ST-NO,-344.2610000000004,0.2487, ,-780.9474243063997,92.4254243063989,Bottom (60-100 cm),60,100,60 - 100 cm
Bottom2,hMean,NT-NO - ST-CC,61.40025000000014,0.8324, ,-375.2861743063992,498.08667430639946,Bottom (60-100 cm),60,100,60 - 100 cm
Bottom2,hMean,NT-NO - ST-NO,-150.65549999999985,0.6054, ,-587.3419243063992,286.03092430639947,Bottom (60-100 cm),60,100,60 - 100 cm
Bottom2,hMean,ST-CC - ST-NO,-212.05575,0.4695, ,-648.7421743063993,224.63067430639933,Bottom (60-100 cm),60,100,60 - 100 cm
Bottom2,th,NT-CC - NT-NO,-0.0028123368220309974,0.4919, ,-0.008913697491587404,0.0032890238475254095,Bottom (60-100 cm),60,100,60 - 100 cm
Bottom2,th,NT-CC - ST-CC,-0.0015999954593956534,0.6938, ,-0.00770135612895206,0.004501365210160754,Bottom (60-100 cm),60,100,60 - 100 cm
Bottom2,th,NT-CC - ST-NO,-0.004512793152768646,0.2775, ,-0.010614153822325053,0.001588567516787761,Bottom (60-100 cm),60,100,60 - 100 cm
Bottom2,th,NT-NO - ST-CC,0.001212341362635344,0.7652, ,-0.004889019306921063,0.007313702032191751,Bottom (60-100 cm),60,100,60 - 100 cm
Bottom2,th,NT-NO - ST-NO,-0.0017004563307376486,0.6758, ,-0.0078018170002940555,0.004400904338818758,Bottom (60-100 cm),60,100,60 - 100 cm
Bottom2,th,ST-CC - ST-NO,-0.0029127976933729927,0.4769, ,-0.0090141583629294,0.0031885629761834143,Bottom (60-100 cm),60,100,60 - 100 cm
Bottom2,th.diff,NT-CC - NT-NO,-0.0012509364996480948,0.5927, ,-0.004752038331306469,0.0022501653320102797,Bottom (60-100 cm),60,100,60 - 100 cm
Bottom2,th.diff,NT-CC - ST-CC,-5.902785660771431e-4,0.7998, ,-0.004091380397735518,0.0029108232655812314,Bottom (60-100 cm),60,100,60 - 100 cm
Bottom2,th.diff,NT-CC - ST-NO,-0.002043271959497814,0.3871, ,-0.005544373791156188,0.0014578298721605607,Bottom (60-100 cm),60,100,60 - 100 cm
Bottom2,th.diff,NT-NO - ST-CC,6.606579335709517e-4,0.7766, ,-0.002840443898087423,0.004161759765229326,Bottom (60-100 cm),60,100,60 - 100 cm
Bottom2,th.diff,NT-NO - ST-NO,-7.92335459849719e-4,0.7338, ,-0.0042934372915080935,0.0027087663718086555,Bottom (60-100 cm),60,100,60 - 100 cm
Bottom2,th.diff,ST-CC - ST-NO,-0.0014529933934206707,0.5353, ,-0.004954095225079045,0.002048108438237704,Bottom (60-100 cm),60,100,60 - 100 cm
Bottom2,VolumeW,NT-CC - NT-NO,-0.12169949737968189,0.4919, ,-0.3857263810020126,0.14232738624264885,Bottom (60-100 cm),60,100,60 - 100 cm
Bottom2,VolumeW,NT-CC - ST-CC,-0.06923731243457532,0.6938, ,-0.33326419605690605,0.19478957118775542,Bottom (60-100 cm),60,100,60 - 100 cm
Bottom2,VolumeW,NT-CC - ST-NO,-0.1952840976116761,0.2775, ,-0.4593109812340068,0.06874278601065464,Bottom (60-100 cm),60,100,60 - 100 cm
Bottom2,VolumeW,NT-NO - ST-CC,0.05246218494510657,0.7652, ,-0.21156469867722416,0.3164890685674373,Bottom (60-100 cm),60,100,60 - 100 cm
Bottom2,VolumeW,NT-NO - ST-NO,-0.0735846002319942,0.6758, ,-0.33761148385432493,0.19044228339033653,Bottom (60-100 cm),60,100,60 - 100 cm
Bottom2,VolumeW,ST-CC - ST-NO,-0.12604678517710077,0.4769, ,-0.3900736687994315,0.13798009844522996,Bottom (60-100 cm),60,100,60 - 100 cm
Bottom2,wv.diff,NT-CC - NT-NO,-0.054132329409650515,0.5927, ,-0.20563706022642442,0.09737240140712339,Bottom (60-100 cm),60,100,60 - 100 cm
Bottom2,wv.diff,NT-CC - ST-CC,-0.0255433859283285,0.7998, ,-0.1770481167451024,0.1259613448884454,Bottom (60-100 cm),60,100,60 - 100 cm
Bottom2,wv.diff,NT-CC - ST-NO,-0.0884194128288307,0.3871, ,-0.2399241436456046,0.0630853179879432,Bottom (60-100 cm),60,100,60 - 100 cm
Bottom2,wv.diff,NT-NO - ST-CC,0.028588943481322016,0.7766, ,-0.12291578733545189,0.18009367429809592,Bottom (60-100 cm),60,100,60 - 100 cm
Bottom2,wv.diff,NT-NO - ST-NO,-0.03428708341918019,0.7338, ,-0.1857918142359541,0.11721764739759372,Bottom (60-100 cm),60,100,60 - 100 cm
Bottom2,wv.diff,ST-CC - ST-NO,-0.0628760269005022,0.5353, ,-0.2143807577172761,0.0886287039162717,Bottom (60-100 cm),60,100,60 - 100 cm
