Comparision,difference,pvalue,signif.,LCL,UCL,Depth_text,psd_group,Variable
NT-NO - ST-CC,-2.046482928747366e-4,0.8483, ,-7.367175422317115e-4,3.274209564822383e-4,0 - 5 cm,50-1000,ln.r_area
NT-NO - ST-NO,0.002141640187289939,0,***,0.0016095709379329642,0.0026737094366469137,0 - 5 cm,50-1000,ln.r_area
ST-CC - ST-NO,0.0023462884801646756,0,***,0.0018142192308077008,0.0028783577295216503,0 - 5 cm,50-1000,ln.r_area
NT-CC - NT-NO,4.5260603996970933e-4,0.8761, ,-8.20761127641797e-4,0.0017259732075812157,0 - 5 cm,50-1000,ln.r_area_porosity
NT-CC - ST-CC,0.002777861754373813,0,***,0.0015044945867623066,0.004051228921985319,0 - 5 cm,50-1000,ln.r_area_porosity
NT-CC - ST-NO,0.007590528695013754,0,***,0.006317161527402248,0.00886389586262526,0 - 5 cm,50-1000,ln.r_area_porosity
NT-NO - ST-CC,0.0023252557144041036,7e-4,***,0.0010518885467925973,0.00359862288201561,0 - 5 cm,50-1000,ln.r_area_porosity
NT-NO - ST-NO,0.007137922655044045,0,***,0.005864555487432538,0.00841128982265555,0 - 5 cm,50-1000,ln.r_area_porosity
ST-CC - ST-NO,0.004812666940639941,0,***,0.0035392997730284348,0.0060860341082514475,0 - 5 cm,50-1000,ln.r_area_porosity
NT-CC - NT-NO,6.034766384553905e-4,0,***,3.495949889812354e-4,8.573582879295456e-4,0 - 5 cm,50-1000,Sr.diff
NT-CC - ST-CC,5.280739632019214e-4,1e-4,***,2.7419231372776635e-4,7.819556126760765e-4,0 - 5 cm,50-1000,Sr.diff
NT-CC - ST-NO,0.0013272718324554601,0,***,0.001073390182981305,0.0015811534819296152,0 - 5 cm,50-1000,Sr.diff
NT-NO - ST-CC,-7.540267525346905e-5,0.9231, ,-3.2928432472762413e-4,1.7847897422068604e-4,0 - 5 cm,50-1000,Sr.diff
NT-NO - ST-NO,7.237951940000696e-4,0,***,4.6991354452591456e-4,9.776768434742247e-4,0 - 5 cm,50-1000,Sr.diff
ST-CC - ST-NO,7.991978692535387e-4,0,***,5.453162197793836e-4,0.0010530795187276938,0 - 5 cm,50-1000,Sr.diff
NT-CC - NT-NO,3.402213414476613e-4,0,***,2.937390996404235e-4,3.867035832548991e-4,20 - 25 cm,<0.2,ln.r_area
NT-CC - ST-CC,8.565863906580911e-4,0,***,8.101041488508533e-4,9.030686324653288e-4,20 - 25 cm,<0.2,ln.r_area
NT-CC - ST-NO,8.680355920770275e-4,0,***,8.215533502697897e-4,9.145178338842652e-4,20 - 25 cm,<0.2,ln.r_area
NT-NO - ST-CC,5.163650492104298e-4,0,***,4.6988280740319196e-4,5.628472910176675e-4,20 - 25 cm,<0.2,ln.r_area
NT-NO - ST-NO,5.278142506293661e-4,0,***,4.8133200882212836e-4,5.742964924366039e-4,20 - 25 cm,<0.2,ln.r_area
ST-CC - ST-NO,1.1449201418936399e-5,0.9543, ,-3.503304038830137e-5,5.7931443226174165e-5,20 - 25 cm,<0.2,ln.r_area
NT-CC - NT-NO,6.949683751334571e-4,0,***,5.853158788604526e-4,8.046208714064616e-4,20 - 25 cm,<0.2,ln.r_area_porosity
NT-CC - ST-CC,0.0018701514658997142,0,***,0.0017604989696267098,0.0019798039621727187,20 - 25 cm,<0.2,ln.r_area_porosity
NT-CC - ST-NO,0.0019177009250172137,0,***,0.0018080484287442092,0.002027353421290218,20 - 25 cm,<0.2,ln.r_area_porosity
NT-NO - ST-CC,0.0011751830907662571,0,***,0.0010655305944932527,0.0012848355870392616,20 - 25 cm,<0.2,ln.r_area_porosity
NT-NO - ST-NO,0.0012227325498837566,0,***,0.0011130800536107521,0.001332385046156761,20 - 25 cm,<0.2,ln.r_area_porosity
ST-CC - ST-NO,4.754945911749942e-5,0.7964, ,-6.210303715550503e-5,1.5720195539050387e-4,20 - 25 cm,<0.2,ln.r_area_porosity
NT-CC - NT-NO,6.909796729062075e-5,0.0135,*,2.0897273201706775e-5,1.1729866137953472e-4,20 - 25 cm,<0.2,Sr.diff
NT-CC - ST-CC,1.6652778848214397e-4,0,***,1.1832709439322999e-4,2.1472848257105795e-4,20 - 25 cm,<0.2,Sr.diff
NT-CC - ST-NO,1.660214848249846e-4,0,***,1.1782079073607062e-4,2.1422217891389859e-4,20 - 25 cm,<0.2,Sr.diff
NT-NO - ST-CC,9.742982119152322e-5,1e-4,***,4.9229127102609246e-5,1.456305152804372e-4,20 - 25 cm,<0.2,Sr.diff
NT-NO - ST-NO,9.692351753436384e-5,1e-4,***,4.872282344544987e-5,1.4512421162327782e-4,20 - 25 cm,<0.2,Sr.diff
ST-CC - ST-NO,-5.06303657159369e-7,1, ,-4.870699774607335e-5,4.76943904317546e-5,20 - 25 cm,<0.2,Sr.diff
NT-CC - NT-NO,0.008308039120480126,0,***,0.00717161576950186,0.00944446247145839,20 - 25 cm,0.2-10,ln.r_area
