Depth_ID,Variable,Comparision,difference,pvalue,signif.,LCL,UCL
T,Ks,NT-CC - NT-NO,0.7535100309961198,0.0116,*,0.3636978086302706,1.143322253361969
T,Ks,NT-CC - ST-CC,0.33797372992120334,0.2071, ,-0.051838492444645834,0.7277859522870525
T,Ks,NT-CC - ST-NO,0.5701217430860579,0.044,*,0.18030952072020873,0.959933965451907
T,Ks,NT-NO - ST-CC,-0.41553630107491646,0.1271, ,-0.8053485234407656,-0.02572407870906729
T,Ks,NT-NO - ST-NO,-0.1833882879100619,0.4832, ,-0.573200510275911,0.20642393445578727
T,Ks,ST-CC - ST-NO,0.23214801316485456,0.3778, ,-0.1576642092009946,0.6219602355307037
T,PAW,NT-CC - NT-NO,-0.027906845721045515,0.2175, ,-0.06088307409850376,0.005069382656412734
T,PAW,NT-CC - ST-CC,-0.06188821349697449,0.0137,*,-0.09486444187443274,-0.02891198511951624
T,PAW,NT-CC - ST-NO,-0.0656262481065695,0.0099,**,-0.09860247648402776,-0.03265001972911125
T,PAW,NT-NO - ST-CC,-0.03398136777592897,0.139, ,-0.06695759615338723,-0.0010051393984707238
T,PAW,NT-NO - ST-NO,-0.03771940238552399,0.104, ,-0.07069563076298224,-0.004743174008065738
T,PAW,ST-CC - ST-NO,-0.0037380346095950145,0.8645, ,-0.03671426298705326,0.029238193767863234
T,PAW100,NT-CC - NT-NO,-0.02791359741030719,0.3383, ,-0.07095745293125638,0.015130258110642003
T,PAW100,NT-CC - ST-CC,-0.04738460610601783,0.1162, ,-0.09042846162696702,-0.004340750585068637
T,PAW100,NT-CC - ST-NO,-0.07327905400823162,0.0225,*,-0.11632290952918081,-0.030235198487282428
T,PAW100,NT-NO - ST-CC,-0.01947100869571064,0.4999, ,-0.06251486421665983,0.023572846825238553
T,PAW100,NT-NO - ST-NO,-0.04536545659792443,0.131, ,-0.08840931211887362,-0.002321601076975238
T,PAW100,ST-CC - ST-NO,-0.02589444790221379,0.3731, ,-0.06893830342316298,0.0171494076187354
T,Porosity,NT-CC - NT-NO,0.03750000000000009,0.1642, ,-0.0014265569176756115,0.07642655691767579
T,Porosity,NT-CC - ST-CC,0.0050000000000000044,0.8467, ,-0.033926556917675696,0.043926556917675705
T,Porosity,NT-CC - ST-NO,-0.010000000000000009,0.6997, ,-0.04892655691767571,0.02892655691767569
T,Porosity,NT-NO - ST-CC,-0.032500000000000084,0.2234, ,-0.07142655691767578,0.006426556917675616
T,Porosity,NT-NO - ST-NO,-0.0475000000000001,0.0851,.,-0.0864265569176758,-0.008573443082324397
T,Porosity,ST-CC - ST-NO,-0.015000000000000013,0.5644, ,-0.053926556917675714,0.023926556917675687
T,WP,NT-CC - NT-NO,0.017740202403398797,0.2361, ,-0.00413708602869781,0.0396174908354954
T,WP,NT-CC - ST-CC,5.291590597134854e-4,0.9709, ,-0.02134812937238312,0.022406447491810092
T,WP,NT-CC - ST-NO,0.03059356080170869,0.0526,.,0.008716272369612085,0.052470849233805295
T,WP,NT-NO - ST-CC,-0.01721104334368531,0.2496, ,-0.039088331775781915,0.004666245088411295
T,WP,NT-NO - ST-NO,0.012853358398309894,0.384, ,-0.009023930033786712,0.0347306468304065
T,WP,ST-CC - ST-NO,0.030064401741995206,0.0562,.,0.0081871133098986,0.05194169017409181
B,BD,NT-CC - NT-NO,-0.05500000000000016,0.1984, ,-0.11713594848695506,0.0071359484869547435
B,BD,NT-CC - ST-CC,0,1, ,-0.0621359484869549,0.0621359484869549
B,BD,NT-CC - ST-NO,-0.03249999999999997,0.4368, ,-0.09463594848695488,0.02963594848695493
B,BD,NT-NO - ST-CC,0.05500000000000016,0.1984, ,-0.0071359484869547435,0.11713594848695506
