pF,logK_cmd,Sample_ID,Depth_text,Plot_ID,Depth_ID,Winter_Cover,Tillage_Type,Depth_Top,Depth_Bottom,Replicate,Distance_From_East_Edge_Approx_m,Sampled_Date
1.749499,-0.67,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.769539,-0.7,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.789579,-0.74,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.809619,-0.78,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.829659,-0.82,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.849699,-0.86,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.86974,-0.9,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.88978,-0.95,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.90982,-1,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.92986,-1.06,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.9499,-1.13,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.96994,-1.21,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.98998,-1.3,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.01002,-1.39,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.03006,-1.49,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.0501,-1.59,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.07014,-1.69,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.09018,-1.78,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.11022,-1.86,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.13026,-1.94,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.150301,-2.01,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.170341,-2.08,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.190381,-2.14,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.210421,-2.2,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.230461,-2.26,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.250501,-2.32,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.270541,-2.37,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.290581,-2.43,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.310621,-2.48,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.330661,-2.54,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.350701,-2.59,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.370741,-2.65,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.390782,-2.7,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.410822,-2.76,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.430862,-2.81,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.450902,-2.87,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.470942,-2.92,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.490982,-2.98,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.511022,-3.03,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.531062,-3.09,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.551102,-3.15,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.571142,-3.2,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.591182,-3.26,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.611223,-3.31,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.631263,-3.37,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.651303,-3.43,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.671343,-3.48,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.691383,-3.54,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.711423,-3.6,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.731463,-3.65,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.751503,-3.71,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.771543,-3.77,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.791583,-3.82,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.811623,-3.88,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
