Layer_Number,Variable,Trt,mean,std,r,LCL,UCL,Min,Max,Q25,Q50,Q75,groups,stder,Layer,Depth_Top,Depth_Bottom,Depth_Range,Layer_Name,Layer_Number_Text
0,wv.diff,ST-NO,2.44307749835661,0.03420591510271519,4,2.414871542448016,2.471283454265204,2.4079553427051597,2.4757435592072596,2.4167972839880414,2.44430554575701,2.4705857601255787,a,0.017102957551357593,Layer_0,0,100,0 - 100 cm,Entire,Entire (0-100 cm)
1,hMean,NT-CC,-2216.51875,442.8590030068825,4,-2499.2088020455562,-1933.8286979544441,-2667.674,-1681.909,-2524.52675,-2258.246,-1950.2379999999998,a,221.42950150344126,Layer_1,0,10,0 - 10 cm,Top,Top (0-10 cm)
1,hMean,NT-NO,-2417.76475,349.67180941693994,4,-2700.454802045556,-2135.0746979544438,-2880.516,-2048.584,-2556.459,-2370.9795,-2232.28525,a,174.83590470846997,Layer_1,0,10,0 - 10 cm,Top,Top (0-10 cm)
1,hMean,ST-CC,-2354.0355,240.470061865644,4,-2636.725552045556,-2071.345447954444,-2642.051,-2110.65,-2501.60525,-2331.7205,-2184.15075,a,120.235030932822,Layer_1,0,10,0 - 10 cm,Top,Top (0-10 cm)
1,hMean,ST-NO,-2432.34,405.40216463079395,4,-2715.030052045556,-2149.649947954444,-2826.07,-2021.08,-2755.19575,-2441.105,-2118.24925,a,202.70108231539697,Layer_1,0,10,0 - 10 cm,Top,Top (0-10 cm)
1,th,NT-CC,0.21107104461566029,0.01354502402537101,4,0.19523547597770358,0.226906613253617,0.19320910231141372,0.2242250492743236,0.20472585558143702,0.21342501343845188,0.21977020247267515,a,0.006772512012685505,Layer_1,0,10,0 - 10 cm,Top,Top (0-10 cm)
1,th,NT-NO,0.19207803261064327,0.029001573016799214,4,0.17624246397268656,0.20791360124859998,0.14925640566206774,0.21227378605984593,0.18716627844472317,0.2033909693603297,0.2083027235262498,ab,0.014500786508399607,Layer_1,0,10,0 - 10 cm,Top,Top (0-10 cm)
1,th,ST-CC,0.2084281490772263,0.019976566480554465,4,0.19259258043926958,0.224263717715183,0.18743952696649344,0.2299229528758287,0.19388998387385772,0.20817505823329152,0.22271322343666006,a,0.009988283240277233,Layer_1,0,10,0 - 10 cm,Top,Top (0-10 cm)
1,th,ST-NO,0.17920847518365884,0.016512552405618806,4,0.16337290654570213,0.19504404382161555,0.15662963626590215,0.19463357821179,0.17270202472675145,0.1827853431284716,0.18929179358537895,b,0.008256276202809403,Layer_1,0,10,0 - 10 cm,Top,Top (0-10 cm)
1,th.diff,NT-CC,0.04235128113241354,0.00790821103698949,4,0.03665974710683875,0.04804281515798833,0.03489518007525533,0.05327002329331659,0.037804604909514414,0.040619960580541126,0.045166636803440255,a,0.003954105518494745,Layer_1,0,10,0 - 10 cm,Top,Top (0-10 cm)
1,th.diff,NT-NO,0.03337887475362839,0.007836075475083411,4,0.0276873407280536,0.03907040877920318,0.02356208564773335,0.04038702741444186,0.02885011646658306,0.03478319297616918,0.03931195126321451,b,0.003918037737541706,Layer_1,0,10,0 - 10 cm,Top,Top (0-10 cm)
1,th.diff,ST-CC,0.03825031356387743,0.006818429903687104,4,0.03255877953830264,0.04394184758945222,0.029134563698261923,0.04494714208923134,0.035322970793764535,0.03945977423400823,0.04238711700412113,ab,0.003409214951843552,Layer_1,0,10,0 - 10 cm,Top,Top (0-10 cm)
1,th.diff,ST-NO,0.03283685719405124,0.006977781857697397,4,0.027145323168476447,0.03852839121962603,0.02544346891238128,0.04023472495968464,0.027775040315355673,0.03283461745206952,0.03789643433076508,b,0.0034888909288486986,Layer_1,0,10,0 - 10 cm,Top,Top (0-10 cm)
1,VolumeW,NT-CC,2.314599179326717,0.14853435510385632,4,2.1409467759839087,2.488251582669525,2.118725618962849,2.458845626977751,2.2450180136200286,2.3404127356831337,2.409993901389822,a,0.07426717755192816,Layer_1,0,10,0 - 10 cm,Top,Top (0-10 cm)
1,VolumeW,NT-NO,2.1063223402188047,0.31803043959013455,4,1.9326699368759965,2.279974743561613,1.6367415752536891,2.3277884084070175,2.0524601812372416,2.2303796886072558,2.2842418475888184,ab,0.15901521979506728,Layer_1,0,10,0 - 10 cm,Top,Top (0-10 cm)
1,VolumeW,ST-CC,2.2856172606772667,0.2190624700126509,4,2.1119648573344585,2.459269664020075,2.0554566168942188,2.521328678710125,2.1261921471572833,2.282841873552362,2.4422669870723457,a,0.10953123500632544,Layer_1,0,10,0 - 10 cm,Top,Top (0-10 cm)
1,VolumeW,ST-NO,1.9651951329647874,0.18107618842854292,4,1.7915427296219792,2.138847536307596,1.7175962160960532,2.1343463818959423,1.8938455790015227,2.004418966933577,2.075768520896842,b,0.09053809421427146,Layer_1,0,10,0 - 10 cm,Top,Top (0-10 cm)
1,wv.diff,NT-CC,0.46442296588343357,0.08672122132852837,4,0.4020097627427879,0.5268361690240793,0.38265956996477324,0.5841575874224751,0.41456424142717613,0.44543735307324295,0.4952960775295004,a,0.043360610664264186,Layer_1,0,10,0 - 10 cm,Top,Top (0-10 cm)
