pF,logK_cmd,manual,Sample_ID,Depth_text,Plot_ID,Depth_ID,Winter_Cover,Tillage_Type,Depth_Top,Depth_Bottom,Replicate,Distance_From_East_Edge_Approx_m,Sampled_Date
2.124,-1.97,NA,15B,20 - 25 cm,15,B,CC,CT,20,25,4,40,11/17/2017
2.154,-2.05,NA,15B,20 - 25 cm,15,B,CC,CT,20,25,4,40,11/17/2017
2.186,-2.16,NA,15B,20 - 25 cm,15,B,CC,CT,20,25,4,40,11/17/2017
2.218,-2.25,NA,15B,20 - 25 cm,15,B,CC,CT,20,25,4,40,11/17/2017
2.251,-2.36,NA,15B,20 - 25 cm,15,B,CC,CT,20,25,4,40,11/17/2017
2.283,-2.45,NA,15B,20 - 25 cm,15,B,CC,CT,20,25,4,40,11/17/2017
2.315,-2.53,NA,15B,20 - 25 cm,15,B,CC,CT,20,25,4,40,11/17/2017
2.345,-2.62,NA,15B,20 - 25 cm,15,B,CC,CT,20,25,4,40,11/17/2017
2.376,-2.66,NA,15B,20 - 25 cm,15,B,CC,CT,20,25,4,40,11/17/2017
2.406,-2.74,NA,15B,20 - 25 cm,15,B,CC,CT,20,25,4,40,11/17/2017
2.436,-2.8,NA,15B,20 - 25 cm,15,B,CC,CT,20,25,4,40,11/17/2017
2.466,-2.86,NA,15B,20 - 25 cm,15,B,CC,CT,20,25,4,40,11/17/2017
2.495,-2.98,NA,15B,20 - 25 cm,15,B,CC,CT,20,25,4,40,11/17/2017
2.523,-3,NA,15B,20 - 25 cm,15,B,CC,CT,20,25,4,40,11/17/2017
2.551,-3.06,NA,15B,20 - 25 cm,15,B,CC,CT,20,25,4,40,11/17/2017
2.578,-3.13,NA,15B,20 - 25 cm,15,B,CC,CT,20,25,4,40,11/17/2017
2.605,-3.18,NA,15B,20 - 25 cm,15,B,CC,CT,20,25,4,40,11/17/2017
2.632,-3.2,NA,15B,20 - 25 cm,15,B,CC,CT,20,25,4,40,11/17/2017
2.661,-3.26,NA,15B,20 - 25 cm,15,B,CC,CT,20,25,4,40,11/17/2017
2.69,-3.23,NA,15B,20 - 25 cm,15,B,CC,CT,20,25,4,40,11/17/2017
2.715,-3.28,NA,15B,20 - 25 cm,15,B,CC,CT,20,25,4,40,11/17/2017
2.74,-3.33,NA,15B,20 - 25 cm,15,B,CC,CT,20,25,4,40,11/17/2017
3.456,-4.8,NA,15B,20 - 25 cm,15,B,CC,CT,20,25,4,40,11/17/2017
-1,2.51,1,15B,20 - 25 cm,15,B,CC,CT,20,25,4,40,11/17/2017
1.765,-0.71,NA,15T,0 - 5 cm,15,T,CC,CT,0,5,4,40,11/17/2017
1.805,-0.93,NA,15T,0 - 5 cm,15,T,CC,CT,0,5,4,40,11/17/2017
1.845,-1.14,NA,15T,0 - 5 cm,15,T,CC,CT,0,5,4,40,11/17/2017
1.894,-1.29,NA,15T,0 - 5 cm,15,T,CC,CT,0,5,4,40,11/17/2017
1.945,-1.46,NA,15T,0 - 5 cm,15,T,CC,CT,0,5,4,40,11/17/2017
1.99,-1.6,NA,15T,0 - 5 cm,15,T,CC,CT,0,5,4,40,11/17/2017
2.034,-1.79,NA,15T,0 - 5 cm,15,T,CC,CT,0,5,4,40,11/17/2017
2.082,-1.9,NA,15T,0 - 5 cm,15,T,CC,CT,0,5,4,40,11/17/2017
2.132,-2,NA,15T,0 - 5 cm,15,T,CC,CT,0,5,4,40,11/17/2017
2.181,-2.08,NA,15T,0 - 5 cm,15,T,CC,CT,0,5,4,40,11/17/2017
2.233,-2.2,NA,15T,0 - 5 cm,15,T,CC,CT,0,5,4,40,11/17/2017
2.285,-2.3,NA,15T,0 - 5 cm,15,T,CC,CT,0,5,4,40,11/17/2017
2.333,-2.38,NA,15T,0 - 5 cm,15,T,CC,CT,0,5,4,40,11/17/2017
2.381,-2.5,NA,15T,0 - 5 cm,15,T,CC,CT,0,5,4,40,11/17/2017
2.431,-2.58,NA,15T,0 - 5 cm,15,T,CC,CT,0,5,4,40,11/17/2017
2.481,-2.65,NA,15T,0 - 5 cm,15,T,CC,CT,0,5,4,40,11/17/2017
2.533,-2.71,NA,15T,0 - 5 cm,15,T,CC,CT,0,5,4,40,11/17/2017
2.589,-2.8,NA,15T,0 - 5 cm,15,T,CC,CT,0,5,4,40,11/17/2017
2.647,-2.9,NA,15T,0 - 5 cm,15,T,CC,CT,0,5,4,40,11/17/2017
2.708,-2.95,NA,15T,0 - 5 cm,15,T,CC,CT,0,5,4,40,11/17/2017
2.775,-3.05,NA,15T,0 - 5 cm,15,T,CC,CT,0,5,4,40,11/17/2017
2.836,-3.17,NA,15T,0 - 5 cm,15,T,CC,CT,0,5,4,40,11/17/2017
2.887,-3.27,NA,15T,0 - 5 cm,15,T,CC,CT,0,5,4,40,11/17/2017
2.935,-3.34,NA,15T,0 - 5 cm,15,T,CC,CT,0,5,4,40,11/17/2017
2.98,-3.4,NA,15T,0 - 5 cm,15,T,CC,CT,0,5,4,40,11/17/2017
3.02,-3.43,NA,15T,0 - 5 cm,15,T,CC,CT,0,5,4,40,11/17/2017
3.787,-4.41,NA,15T,0 - 5 cm,15,T,CC,CT,0,5,4,40,11/17/2017
-1,2.76,1,15T,0 - 5 cm,15,T,CC,CT,0,5,4,40,11/17/2017
1.867,-0.38,NA,16B,20 - 25 cm,16,B,NO,CT,20,25,4,40,11/17/2017
1.893,-0.49,NA,16B,20 - 25 cm,16,B,NO,CT,20,25,4,40,11/17/2017
1.917,-0.57,NA,16B,20 - 25 cm,16,B,NO,CT,20,25,4,40,11/17/2017
1.938,-0.65,NA,16B,20 - 25 cm,16,B,NO,CT,20,25,4,40,11/17/2017
1.959,-0.75,NA,16B,20 - 25 cm,16,B,NO,CT,20,25,4,40,11/17/2017
1.978,-0.83,NA,16B,20 - 25 cm,16,B,NO,CT,20,25,4,40,11/17/2017
1.997,-0.89,NA,16B,20 - 25 cm,16,B,NO,CT,20,25,4,40,11/17/2017
2.016,-0.96,NA,16B,20 - 25 cm,16,B,NO,CT,20,25,4,40,11/17/2017
2.034,-1.02,NA,16B,20 - 25 cm,16,B,NO,CT,20,25,4,40,11/17/2017
2.053,-1.12,NA,16B,20 - 25 cm,16,B,NO,CT,20,25,4,40,11/17/2017
2.07,-1.15,NA,16B,20 - 25 cm,16,B,NO,CT,20,25,4,40,11/17/2017
2.088,-1.23,NA,16B,20 - 25 cm,16,B,NO,CT,20,25,4,40,11/17/2017
2.105,-1.3,NA,16B,20 - 25 cm,16,B,NO,CT,20,25,4,40,11/17/2017
2.123,-1.36,NA,16B,20 - 25 cm,16,B,NO,CT,20,25,4,40,11/17/2017
2.141,-1.38,NA,16B,20 - 25 cm,16,B,NO,CT,20,25,4,40,11/17/2017
2.162,-1.44,NA,16B,20 - 25 cm,16,B,NO,CT,20,25,4,40,11/17/2017
2.185,-1.53,NA,16B,20 - 25 cm,16,B,NO,CT,20,25,4,40,11/17/2017
2.21,-1.6,NA,16B,20 - 25 cm,16,B,NO,CT,20,25,4,40,11/17/2017
2.236,-1.7,NA,16B,20 - 25 cm,16,B,NO,CT,20,25,4,40,11/17/2017
2.263,-1.79,NA,16B,20 - 25 cm,16,B,NO,CT,20,25,4,40,11/17/2017
2.295,-1.85,NA,16B,20 - 25 cm,16,B,NO,CT,20,25,4,40,11/17/2017
2.329,-1.98,NA,16B,20 - 25 cm,16,B,NO,CT,20,25,4,40,11/17/2017
2.364,-2.1,NA,16B,20 - 25 cm,16,B,NO,CT,20,25,4,40,11/17/2017
2.396,-2.22,NA,16B,20 - 25 cm,16,B,NO,CT,20,25,4,40,11/17/2017
2.425,-2.34,NA,16B,20 - 25 cm,16,B,NO,CT,20,25,4,40,11/17/2017
