Trt,mean,std,r,Min,Max,Q25,Q50,Q75,groups,stder,Depth_text,psd_group,Variable
ST-NO,0.008302808971466645,0.001693581492671204,68,0.0053784650690780755,0.011528683380839788,0.00693800986811291,0.008187609624036807,0.009631854137952603,a,2.053769229374881e-4,0 - 5 cm,10-50,Sr.diff
NT-CC,0.019534788135069075,0.0021301683499835972,132,0.01653404238748409,0.022137082986129937,0.018155108654726585,0.019734013583331135,0.021113693063673625,a,1.854073565780806e-4,0 - 5 cm,50-1000,ln.r_area
NT-NO,0.017732894406980657,0.0027514796847138093,132,0.014762827830870942,0.022136465204069148,0.015974648220868186,0.01701614229649127,0.018774388482603745,b,2.3948556696235123e-4,0 - 5 cm,50-1000,ln.r_area
ST-CC,0.017937542699855393,0.0019094052853983298,132,0.015402143298596597,0.02076504863620094,0.017149367583206912,0.01779148943231202,0.018579664548960505,b,1.6619239817578074e-4,0 - 5 cm,50-1000,ln.r_area
ST-NO,0.015591254219690718,9.85948111185517e-4,132,0.013961133411958671,0.016454843995649678,0.015257685639954896,0.015974519735577262,0.016308088315313083,c,8.581576804456126e-5,0 - 5 cm,50-1000,ln.r_area
NT-CC,0.035022563455908456,0.0046598599579189956,132,0.028506969633593258,0.03994723671061831,0.031726037246741404,0.03581802373971113,0.039114549948878176,a,4.0558874927817777e-4,0 - 5 cm,50-1000,ln.r_area_porosity
NT-NO,0.03456995741593875,0.007931757550082751,132,0.02636219255512668,0.04611763584181072,0.027769757213178994,0.032900000633408796,0.03970020083616854,a,6.90370880963657e-4,0 - 5 cm,50-1000,ln.r_area_porosity
ST-CC,0.032244701701534643,0.0022671234931610374,132,0.029619506343454994,0.0358018079934499,0.030893301831320358,0.03177874623461684,0.03313014610483113,b,1.9732777172578347e-4,0 - 5 cm,50-1000,ln.r_area_porosity
ST-NO,0.027432034760894702,0.002456332692995316,132,0.023268555686597785,0.02956212682763797,0.02709495443326541,0.028448728264671527,0.028785808592300816,c,2.137963187219857e-4,0 - 5 cm,50-1000,ln.r_area_porosity
NT-CC,0.006619380800556557,8.153146051903547e-4,132,0.004976572679220859,0.007937288593868108,0.006168243340365517,0.006528216988473112,0.00732936832636652,a,7.096402766899109e-5,0 - 5 cm,50-1000,Sr.diff
NT-NO,0.0060159041621011666,0.0012497260971949063,132,0.0031023841934629814,0.007770099886415416,0.005264087389942496,0.006050898822487771,0.0071429124888513496,b,1.0877469479317594e-4,0 - 5 cm,50-1000,Sr.diff
ST-CC,0.006091306837354636,7.616789062895025e-4,132,0.004309081850712382,0.0072732572926365036,0.005926807441317947,0.00602920542130625,0.00677721722495811,b,6.629563929888812e-5,0 - 5 cm,50-1000,Sr.diff
ST-NO,0.005292108968101097,0.001000760264586337,132,0.0034922917816966326,0.008135662840274449,0.0045473058353396045,0.005290797927545443,0.005852708932014228,c,8.710500051639677e-5,0 - 5 cm,50-1000,Sr.diff
NT-CC,7.08960342135721e-4,1.2220650633933908e-4,244,5.88473640729528e-4,9.097885023310035e-4,6.28750726287735e-4,6.687896127411763e-4,7.489992285891623e-4,a,7.823469889594324e-6,20 - 25 cm,<0.2,ln.r_area
NT-NO,3.687390006880597e-4,4.3081554839070614e-4,244,-1.0586181148095129e-5,0.0010955571758104615,9.974512319737694e-5,1.9499250404493627e-4,4.6398638153561907e-4,b,2.758013932126279e-5,20 - 25 cm,<0.2,ln.r_area
ST-CC,-1.4762604852237003e-4,1.7494458957247662e-4,244,-3.3688630504894964e-4,1.1307517534677692e-4,-2.879361884226704e-4,-1.833465321936537e-4,-4.303639229335331e-5,c,1.1199679705000479e-5,20 - 25 cm,<0.2,ln.r_area
ST-NO,-1.5907524994130643e-4,7.26061427162023e-5,244,-2.564871731575358e-4,-6.50815102966839e-5,-2.095519057954207e-4,-1.5736615815550303e-4,-1.0688950230138876e-4,c,4.648131988672552e-6,20 - 25 cm,<0.2,ln.r_area
NT-CC,0.00155931308849626,2.771873025206169e-4,244,0.0013077192016211733,0.0020217522274022302,0.001373956574547365,0.0014538904624808177,0.0016392469764297127,a,1.774509868587777e-5,20 - 25 cm,<0.2,ln.r_area_porosity
NT-NO,8.643447133628028e-4,0.0010304467948944894,244,-2.461902592580262e-5,0.0026084694662153844,2.2655358098309645e-4,4.3676420658081465e-4,0.001074555338960521,b,6.596759627757162e-5,20 - 25 cm,<0.2,ln.r_area_porosity
ST-CC,-3.108383774034544e-4,3.899985960414736e-4,244,-7.486362334421103e-4,2.692266079685164e-4,-6.115645003614297e-4,-3.8197194207011185e-4,-8.124581911213661e-5,c,2.496710170768008e-5,20 - 25 cm,<0.2,ln.r_area_porosity
ST-NO,-3.583878365209538e-4,1.5774430974391086e-4,244,-5.457173896968846e-4,-1.3847129850358278e-4,-4.82691520057642e-4,-3.7468132894167384e-4,-2.503776454049856e-4,c,1.0098544623389334e-5,20 - 25 cm,<0.2,ln.r_area_porosity
NT-CC,1.4118579600323777e-4,4.329502082429491e-4,244,-2.035571531388003e-4,0.0021379205082321384,-4.804538800184943e-5,-7.560078935098247e-7,4.65737708791325e-5,a,2.7716796914862395e-5,20 - 25 cm,<0.2,Sr.diff
NT-NO,7.208782871261702e-5,2.048352747911142e-4,244,-1.378405198332322e-4,9.963782498192408e-4,-3.279382483797888e-5,4.256587831152903e-6,5.463075122330574e-5,b,1.3113234742225822e-5,20 - 25 cm,<0.2,Sr.diff
ST-CC,-2.5341992478906198e-5,1.030398521322895e-4,244,-2.897616165573602e-4,4.398653994991397e-4,-5.591791222492315e-5,1.916300992166331e-6,3.826794412797874e-5,c,6.596450587882653e-6,20 - 25 cm,<0.2,Sr.diff
ST-NO,-2.483568882174683e-5,1.1915007976710016e-4,244,-2.4385290818351724e-4,7.749157703990095e-4,-9.132071834636046e-5,-1.5795596180478988e-6,8.941809856333194e-6,c,7.627802228567591e-6,20 - 25 cm,<0.2,Sr.diff
NT-CC,0.02683503134686707,0.003715267022793136,172,0.022482609203557245,0.03272912184280585,0.025094592997333517,0.02606419717055259,0.02780463552008614,a,2.832864546899129e-4,20 - 25 cm,0.2-10,ln.r_area
NT-NO,0.018526992226386943,0.004785621713991685,172,0.012594173399412014,0.0241660688919011,0.014553947895262286,0.018673863307117324,0.02264690763824198,d,3.649002347682005e-4,20 - 25 cm,0.2-10,ln.r_area
ST-CC,0.02367373497913247,0.006680503853646295,172,0.016793648707411537,0.031603441700397944,0.01722850826194936,0.023148924754360208,0.029594151471543317,b,5.09383643391258e-4,20 - 25 cm,0.2-10,ln.r_area
ST-NO,0.02238044127412852,0.004264503760724139,172,0.01814660655246854,0.029160179948201484,0.019159091839995628,0.021107489297922024,0.024328838732054915,c,3.2516536334422367e-4,20 - 25 cm,0.2-10,ln.r_area
NT-CC,0.059048283869058665,0.008661088220000928,172,0.048875237399037486,0.07273138187290189,0.05455346303768156,0.057293258102147644,0.061788078933524754,a,6.604017855373526e-4,20 - 25 cm,0.2-10,ln.r_area_porosity
