Depth_ID,Variable,Trt,mean,std,r,LCL,UCL,Min,Max,Q25,Q50,Q75,groups,stder
B,FC,NT-NO,0.3542078024639753,0.026898399744637393,4,0.3382082857511417,0.37020731917680894,0.3286238835536518,0.39196572624676335,0.3411073732969846,0.34812080002774304,0.3612212291947338,a,0.013449199872318697
B,FC,ST-CC,0.3728112493806349,0.01844288801971279,4,0.3568117326678013,0.38881076609346854,0.34787827160873613,0.3917201231932041,0.3662894410877796,0.3758233013602998,0.3823451096531551,a,0.009221444009856396
B,FC,ST-NO,0.3503722609458323,0.01961565169078233,4,0.3343727442329987,0.3663717776586659,0.33155403251143306,0.37703493228471807,0.33866875377089645,0.34645003949358905,0.35815354666852484,a,0.009807825845391164
B,FC100,NT-CC,0.35250904634581104,0.016540438898390474,4,0.33318741171111543,0.37183068098050664,0.3346058823529412,0.36842727272727277,0.34047874331550804,0.3535015151515152,0.3655318181818182,b,0.008270219449195237
B,FC100,NT-NO,0.37610607142857144,0.024128102549395895,4,0.35678443679387584,0.39542770606326705,0.3535142857142857,0.41025,0.36512357142857144,0.37033,0.3813125,ab,0.012064051274697948
B,FC100,ST-CC,0.40016786354040046,0.024527466599593366,4,0.38084622890570485,0.41948949817509606,0.3649896103896104,0.4184655172413793,0.3926724025974026,0.40860816326530613,0.41610362420830405,a,0.012263733299796683
B,FC100,ST-NO,0.38287481990426336,0.032680124029431004,4,0.36355318526956776,0.40219645453895897,0.35321111111111114,0.42041578947368424,0.3567398745519713,0.37893618951612906,0.4050711348684211,a,0.016340062014715502
B,K100,NT-CC,0.001737277719065679,0.002223269741268139,4,1.1649886139366607e-5,0.0034629055519919912,-0.0015516376870198156,0.0033098312545854734,0.0014224952025225016,0.002595458654348529,0.002910241170891706,a,0.0011116348706340694
B,K100,NT-NO,0.0014955067293102166,0.002162797304628814,4,-2.3012110361609575e-4,0.0032211345622365287,-7.937062937062911e-4,0.003491640433718084,-1.2455301422293897e-4,0.0016420463886145365,0.003262106132147692,a,0.001081398652314407
B,K100,ST-CC,0.00152662425782095,0.0015802498559690445,4,-1.9900357510536232e-4,0.0032522520907472623,-4.53968253968251e-4,0.0030841584158415826,6.458120212280578e-4,0.0017381534347052341,0.0026189656712981265,a,7.901249279845222e-4
B,K100,ST-NO,0.0012942546429752179,0.002832893004264415,4,-4.3137318995109444e-4,0.00301988247590153,-0.002404273504273504,0.004257975279576219,3.055812995572064e-5,0.0016616583982990785,0.002925354911318576,a,0.0014164465021322076
