Layer_Number,Variable,Comparision,difference,pvalue,signif.,LCL,UCL,Layer,Depth_Top,Depth_Bottom,Depth_Range,Layer_Name,Layer_Number_Text
3,hMean,NT-NO - ST-CC,18.32724999999982,0.8044, ,-92.97824007924237,129.632740079242,Layer_3,20,30,20 - 30 cm,Subsurface,Subsurface (20-30 cm)
3,hMean,NT-NO - ST-NO,-35.41675000000009,0.6334, ,-146.72224007924228,75.8887400792421,Layer_3,20,30,20 - 30 cm,Subsurface,Subsurface (20-30 cm)
3,hMean,ST-CC - ST-NO,-53.743999999999915,0.472, ,-165.0494900792421,57.561490079242276,Layer_3,20,30,20 - 30 cm,Subsurface,Subsurface (20-30 cm)
3,th,NT-CC - NT-NO,-0.038178521915324726,0.1075, ,-0.07193086231442453,-0.004426181516224925,Layer_3,20,30,20 - 30 cm,Subsurface,Subsurface (20-30 cm)
3,th,NT-CC - ST-CC,-0.023485656393302773,0.3056, ,-0.05723799679240257,0.010266684005797028,Layer_3,20,30,20 - 30 cm,Subsurface,Subsurface (20-30 cm)
3,th,NT-CC - ST-NO,-0.02335768369414526,0.3081, ,-0.05711002409324506,0.010394656704954541,Layer_3,20,30,20 - 30 cm,Subsurface,Subsurface (20-30 cm)
3,th,NT-NO - ST-CC,0.014692865522021953,0.5159, ,-0.019059474877077848,0.04844520592112175,Layer_3,20,30,20 - 30 cm,Subsurface,Subsurface (20-30 cm)
3,th,NT-NO - ST-NO,0.014820838221179466,0.5123, ,-0.018931502177920334,0.04857317862027927,Layer_3,20,30,20 - 30 cm,Subsurface,Subsurface (20-30 cm)
3,th,ST-CC - ST-NO,1.2797269915751364e-4,0.9954, ,-0.03362436769994229,0.033880313098257314,Layer_3,20,30,20 - 30 cm,Subsurface,Subsurface (20-30 cm)
3,th.diff,NT-CC - NT-NO,-0.010408446198144385,0.1524, ,-0.020883866034669456,6.697363838068827e-5,Layer_3,20,30,20 - 30 cm,Subsurface,Subsurface (20-30 cm)
3,th.diff,NT-CC - ST-CC,-0.003927162205396177,0.5749, ,-0.01440258204192125,0.006548257631128896,Layer_3,20,30,20 - 30 cm,Subsurface,Subsurface (20-30 cm)
3,th.diff,NT-CC - ST-NO,-0.0031699904020475733,0.65, ,-0.013645410238572646,0.0073054294344774996,Layer_3,20,30,20 - 30 cm,Subsurface,Subsurface (20-30 cm)
3,th.diff,NT-NO - ST-CC,0.0064812839927482074,0.3601, ,-0.0039941358437768654,0.01695670382927328,Layer_3,20,30,20 - 30 cm,Subsurface,Subsurface (20-30 cm)
3,th.diff,NT-NO - ST-NO,0.007238455796096811,0.3088, ,-0.0032369640404282616,0.017713875632621882,Layer_3,20,30,20 - 30 cm,Subsurface,Subsurface (20-30 cm)
3,th.diff,ST-CC - ST-NO,7.571718033486038e-4,0.9133, ,-0.009718248033176469,0.011232591639873677,Layer_3,20,30,20 - 30 cm,Subsurface,Subsurface (20-30 cm)
3,VolumeW,NT-CC - NT-NO,-0.3517127754746818,0.1075, ,-0.6626501487669831,-0.04077540218238057,Layer_3,20,30,20 - 30 cm,Subsurface,Subsurface (20-30 cm)
3,VolumeW,NT-CC - ST-CC,-0.21635739100254714,0.3056, ,-0.5272947642948485,0.09457998228975412,Layer_3,20,30,20 - 30 cm,Subsurface,Subsurface (20-30 cm)
3,VolumeW,NT-CC - ST-NO,-0.21517846549816277,0.3081, ,-0.5261158387904641,0.09575890779413848,Layer_3,20,30,20 - 30 cm,Subsurface,Subsurface (20-30 cm)
3,VolumeW,NT-NO - ST-CC,0.1353553844721347,0.5159, ,-0.17558198882016657,0.44629275776443594,Layer_3,20,30,20 - 30 cm,Subsurface,Subsurface (20-30 cm)
3,VolumeW,NT-NO - ST-NO,0.13653430997651905,0.5123, ,-0.1744030633157822,0.4474716832688203,Layer_3,20,30,20 - 30 cm,Subsurface,Subsurface (20-30 cm)
3,VolumeW,ST-CC - ST-NO,0.001178925504384365,0.9954, ,-0.3097584477879169,0.3121162987966856,Layer_3,20,30,20 - 30 cm,Subsurface,Subsurface (20-30 cm)
3,wv.diff,NT-CC - NT-NO,-0.0958859410232652,0.1524, ,-0.19238886466023014,6.16982613699732e-4,Layer_3,20,30,20 - 30 cm,Subsurface,Subsurface (20-30 cm)
3,wv.diff,NT-CC - ST-CC,-0.03617827641579652,0.5749, ,-0.13268120005276146,0.06032464722116841,Layer_3,20,30,20 - 30 cm,Subsurface,Subsurface (20-30 cm)
3,wv.diff,NT-CC - ST-NO,-0.0292029671815221,0.65, ,-0.12570589081848704,0.06729995645544283,Layer_3,20,30,20 - 30 cm,Subsurface,Subsurface (20-30 cm)
3,wv.diff,NT-NO - ST-CC,0.05970766460746868,0.3601, ,-0.03679525902949625,0.15621058824443362,Layer_3,20,30,20 - 30 cm,Subsurface,Subsurface (20-30 cm)
3,wv.diff,NT-NO - ST-NO,0.0666829738417431,0.3088, ,-0.02981994979522183,0.16318589747870804,Layer_3,20,30,20 - 30 cm,Subsurface,Subsurface (20-30 cm)
3,wv.diff,ST-CC - ST-NO,0.006975309234274418,0.9133, ,-0.08952761440269051,0.10347823287123935,Layer_3,20,30,20 - 30 cm,Subsurface,Subsurface (20-30 cm)
4,hMean,NT-CC - NT-NO,-80.3744999999999,0.4859, ,-252.2904651319265,91.54146513192671,Layer_4,30,40,30 - 40 cm,Subsurface,Subsurface (30-40 cm)
4,hMean,NT-CC - ST-CC,-56.12024999999994,0.6247, ,-228.03621513192655,115.79571513192667,Layer_4,30,40,30 - 40 cm,Subsurface,Subsurface (30-40 cm)
4,hMean,NT-CC - ST-NO,-140.1005,0.234, ,-312.0164651319266,31.8154651319266,Layer_4,30,40,30 - 40 cm,Subsurface,Subsurface (30-40 cm)
4,hMean,NT-NO - ST-CC,24.254249999999956,0.8319, ,-147.66171513192666,196.17021513192657,Layer_4,30,40,30 - 40 cm,Subsurface,Subsurface (30-40 cm)
4,hMean,NT-NO - ST-NO,-59.72600000000011,0.6029, ,-231.64196513192672,112.1899651319265,Layer_4,30,40,30 - 40 cm,Subsurface,Subsurface (30-40 cm)
4,hMean,ST-CC - ST-NO,-83.98025000000007,0.467, ,-255.89621513192668,87.93571513192654,Layer_4,30,40,30 - 40 cm,Subsurface,Subsurface (30-40 cm)
4,th,NT-CC - NT-NO,-0.002420187793427231,0.4669, ,-0.007373382387899778,0.002533006801045316,Layer_4,30,40,30 - 40 cm,Subsurface,Subsurface (30-40 cm)
4,th,NT-CC - ST-CC,-0.0014835680751173752,0.6533, ,-0.006436762669589922,0.0034696265193551717,Layer_4,30,40,30 - 40 cm,Subsurface,Subsurface (30-40 cm)
4,th,NT-CC - ST-NO,-0.003840375586854461,0.2561, ,-0.008793570181327008,0.001112819007618086,Layer_4,30,40,30 - 40 cm,Subsurface,Subsurface (30-40 cm)
4,th,NT-NO - ST-CC,9.366197183098557e-4,0.7762, ,-0.004016574876162691,0.005889814312782403,Layer_4,30,40,30 - 40 cm,Subsurface,Subsurface (30-40 cm)
4,th,NT-NO - ST-NO,-0.00142018779342723,0.6671, ,-0.006373382387899777,0.003533006801045317,Layer_4,30,40,30 - 40 cm,Subsurface,Subsurface (30-40 cm)
4,th,ST-CC - ST-NO,-0.0023568075117370857,0.4783, ,-0.007310002106209633,0.002596387082735461,Layer_4,30,40,30 - 40 cm,Subsurface,Subsurface (30-40 cm)
4,th.diff,NT-CC - NT-NO,-6.877934272300282e-4,0.7654, ,-0.004152539241407523,0.0027769523869474668,Layer_4,30,40,30 - 40 cm,Subsurface,Subsurface (30-40 cm)
4,th.diff,NT-CC - ST-CC,-5.305164319248865e-4,0.8178, ,-0.003995262246102381,0.0029342293822526085,Layer_4,30,40,30 - 40 cm,Subsurface,Subsurface (30-40 cm)
4,th.diff,NT-CC - ST-NO,-0.0022535211267605618,0.3369, ,-0.005718266940938056,0.0012112246874169332,Layer_4,30,40,30 - 40 cm,Subsurface,Subsurface (30-40 cm)
4,th.diff,NT-NO - ST-CC,1.5727699530514172e-4,0.9455, ,-0.003307468818872353,0.0036220228094826367,Layer_4,30,40,30 - 40 cm,Subsurface,Subsurface (30-40 cm)
4,th.diff,NT-NO - ST-NO,-0.0015657276995305336,0.5003, ,-0.005030473513708028,0.0018990181146469613,Layer_4,30,40,30 - 40 cm,Subsurface,Subsurface (30-40 cm)
4,th.diff,ST-CC - ST-NO,-0.0017230046948356753,0.4592, ,-0.00518775050901317,0.0017417411193418196,Layer_4,30,40,30 - 40 cm,Subsurface,Subsurface (30-40 cm)
4,VolumeW,NT-CC - NT-NO,-0.025322337396256334,0.4669, ,-0.07714743338723032,0.026502758594717644,Layer_4,30,40,30 - 40 cm,Subsurface,Subsurface (30-40 cm)
